
2024-06-27 20:39:01,437 - INFO - started stock data stream
2024-06-27 20:39:01,437 - INFO - starting stock data websocket connection
2024-06-27 20:39:01,924 - INFO - connected to: wss://stream.data.alpaca.markets/v2/iex
2024-06-27 20:39:02,134 - INFO - subscribed to trades: [], quotes: [], bars: ['AAPL', 'AMZN', 'GOOG', 'META', 'MSFT', 'NFLX', 'NVDA', 'PYPL', 'TSLA', 'V'], updatedBars: [], dailyBars: [], statuses: [], lulds: [], cancelErrors: [], corrections: []
2024-06-27 20:40:00,118 - INFO - Received new bar data for MSFT: 452.5
2024-06-27 20:41:00,670 - INFO - Total portfolio value: 1654.4880653274702, Available cash: 98395.48
2024-06-27 20:41:00,670 - INFO - Neutral signal received for NFLX, no trade executed
2024-06-27 20:41:00,670 - INFO - Received new bar data for GOOG: 186.695
2024-06-27 20:41:00,843 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:00,844 - INFO - Holding 0.628663333 shares of AMZN at 198.1 per share, market value: 124.5382062673
2024-06-27 20:41:00,844 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:00,844 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:00,844 - INFO - Holding 0.420432778 shares of MSFT at 452.49 per share, market value: 190.24162771722
2024-06-27 20:41:00,844 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:00,845 - INFO - Holding 0.080561 shares of NVDA at 123.9612 per share, market value: 9.9864382332
2024-06-27 20:41:00,845 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:00,845 - INFO - Holding 1.0 shares of SPY at 545.75 per share, market value: 545.75
2024-06-27 20:41:00,845 - INFO - Holding 0.685021999 shares of TSLA at 197.098 per share, market value: 135.016465958902
2024-06-27 20:41:00,845 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:00,845 - INFO - Total portfolio value: 1654.4799417366821, Available cash: 98395.48
2024-06-27 20:41:00,845 - INFO - Neutral signal received for GOOG, no trade executed
2024-06-27 20:41:00,845 - INFO - Received new bar data for NVDA: 123.95
2024-06-27 20:41:01,026 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:01,026 - INFO - Holding 0.628663333 shares of AMZN at 198.1 per share, market value: 124.5382062673
2024-06-27 20:41:01,026 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:01,026 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:01,026 - INFO - Holding 0.420432778 shares of MSFT at 452.49 per share, market value: 190.24162771722
2024-06-27 20:41:01,026 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:01,026 - INFO - Holding 0.080561 shares of NVDA at 123.96 per share, market value: 9.98634156
2024-06-27 20:41:01,026 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:01,026 - INFO - Holding 1.0 shares of SPY at 545.75 per share, market value: 545.75
2024-06-27 20:41:01,026 - INFO - Holding 0.685021999 shares of TSLA at 197.095 per share, market value: 135.014410892905
2024-06-27 20:41:01,027 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:01,027 - INFO - Total portfolio value: 1654.4777899974852, Available cash: 98395.48
