Parameters,Cumulative Return,Sharpe Ratio,Max Drawdown,Time
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.04}",0.0029809079507056697,0.027033667959295,-0.019607943138398087,25.12450385093689
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.05}",-0.0009977811417176458,0.02594782047649468,-0.019607943138398087,25.172622442245483
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.06}",0.0009997014427712487,0.026488971881654524,-0.019607943138398087,26.11394190788269
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.07}",0.0049840544754466,0.02751445721435687,-0.019607943138398087,25.225039958953857
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.04}",-0.0009979150893077561,0.025975144511462555,-0.019607943138398087,25.34247851371765
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.05}",0.001982123050367046,0.026728687735622713,-0.019607943138398087,25.276572227478027
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.06}",0.0049840544754466,0.027462062451895915,-0.019607943138398087,25.21434187889099
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.07}",-0.0019946306274590837,0.02573131522987099,-0.019607943138398087,26.230228662490845
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.04}",-0.0009948693361023129,0.025989286775323174,-0.019607943138398087,27.164165258407593
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.05}",0.003979180969449522,0.027187484595364058,-0.019607943138398087,25.17056965827942
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.06}",-0.0009977811417176458,0.02599232787657027,-0.019607943138398087,25.32279658317566
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.07}",-0.0019946306274590837,0.02575870789815134,-0.019607943138398087,26.19500422477722
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.04}",0.0029809079507056697,0.02689775620519219,-0.019607943138398087,24.922672033309937
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",-0.0019946306274590837,0.02574233683129602,-0.019607943138398087,25.10553216934204
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06}",-0.0009979150893077561,0.02598722746192526,-0.019607943138398087,25.13490080833435
"{'window': 20, 'allocation_per_trade': 25, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.07}",1.4023475941133592e-06,0.026207424788731323,-0.019607943138398087,25.55122947692871
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.04}",0.0049840544754466,0.027294484917034845,-0.019607943138398087,26.118772268295288
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.05}",-0.0019946306274590837,0.025771856411119898,-0.019607943138398087,24.91350221633911
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.06}",-0.0009948693361023129,0.02599898864913865,-0.019607943138398087,25.087323665618896
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.07}",0.003979180969449522,0.027057782746902022,-0.019607943138398087,25.4612295627594
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.04}",-0.0009977811417176458,0.026001458484391365,-0.019607943138398087,25.316890239715576
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.05}",-0.0019946306274590837,0.025794279357470667,-0.019607943138398087,26.207629680633545
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.06}",0.0029809079507056697,0.026804928295590665,-0.019607943138398087,25.17174196243286
